Command,Chromosome,Sample_Size,Time_Taken,Memory_Used_MB,Input_file_size
compress,22,1,0:00.70,54580,8558208
decompress,22,1,0:00.29,139612,745515
random_access,22,1,0:00.06,49332,745515
random_access,22,1,0:00.05,49440,745515
random_access,22,1,0:00.05,49256,745515
compress,22,1,0:00.68,54804,8558208
decompress,22,1,0:00.27,139328,745515
random_access,22,1,0:00.06,49344,745515
random_access,22,1,0:00.05,49404,745515
random_access,22,1,0:00.06,49332,745515
compress,22,1,0:00.71,58316,8558208
decompress,22,1,0:00.27,139472,745515
random_access,22,1,0:00.07,49432,745515
random_access,22,1,0:00.06,49440,745515
random_access,22,1,0:00.05,49400,745515
compress,22,2,0:01.05,67832,12585741
decompress,22,2,0:00.35,163644,1081741
random_access,22,2,0:00.06,54204,1081741
random_access,22,2,0:00.02,24064,1081741
random_access,22,2,0:00.06,54156,1081741
compress,22,2,0:01.02,68316,12585741
decompress,22,2,0:00.37,164148,1081741
random_access,22,2,0:00.06,54228,1081741
random_access,22,2,0:00.02,24052,1081741
random_access,22,2,0:00.06,54320,1081741
compress,22,2,0:01.04,67644,12585741
decompress,22,2,0:00.38,163772,1081741
random_access,22,2,0:00.07,54256,1081741
random_access,22,2,0:00.02,24076,1081741
random_access,22,2,0:00.06,54316,1081741
compress,22,5,0:01.29,96056,23943338
decompress,22,5,0:00.58,277040,1855651
random_access,22,5,0:00.07,53604,1855651
random_access,22,5,0:00.06,53596,1855651
random_access,22,5,0:00.06,53596,1855651
compress,22,5,0:01.35,101520,23943338
decompress,22,5,0:00.58,276620,1855651
random_access,22,5,0:00.07,53528,1855651
random_access,22,5,0:00.06,53612,1855651
random_access,22,5,0:00.06,53496,1855651
compress,22,5,0:01.31,97124,23943338
decompress,22,5,0:00.60,277348,1855650
random_access,22,5,0:00.07,53496,1855650
random_access,22,5,0:00.06,53464,1855650
random_access,22,5,0:00.06,53508,1855650
compress,22,10,0:01.38,99564,30583107
decompress,22,10,0:00.67,291288,2172362
random_access,22,10,0:00.07,55996,2172362
random_access,22,10,0:00.06,55892,2172362
random_access,22,10,0:00.07,56008,2172362
compress,22,10,0:01.40,97612,30583107
decompress,22,10,0:00.69,291356,2172357
random_access,22,10,0:00.07,55848,2172357
random_access,22,10,0:00.07,55924,2172357
random_access,22,10,0:00.06,55828,2172357
compress,22,10,0:01.38,97352,30583107
decompress,22,10,0:00.68,290444,2172366
random_access,22,10,0:00.07,55940,2172366
random_access,22,10,0:00.07,56000,2172366
random_access,22,10,0:00.07,55920,2172366
compress,22,15,0:01.49,92672,37540638
decompress,22,15,0:00.75,309600,2419778
random_access,22,15,0:00.08,55840,2419778
random_access,22,15,0:00.07,55868,2419778
random_access,22,15,0:00.05,46300,2419778
compress,22,15,0:01.52,94064,37540638
decompress,22,15,0:00.76,311836,2419786
random_access,22,15,0:00.07,55852,2419786
random_access,22,15,0:00.07,55884,2419786
random_access,22,15,0:00.06,46280,2419786
compress,22,15,0:01.56,95400,37540638
decompress,22,15,0:00.75,310592,2419788
random_access,22,15,0:00.08,55872,2419788
random_access,22,15,0:00.07,55680,2419788
random_access,22,15,0:00.06,46360,2419788
compress,22,25,0:01.79,103612,53340358
decompress,22,25,0:00.93,326068,2900331
random_access,22,25,0:00.07,56928,2900331
random_access,22,25,0:00.07,56304,2900331
random_access,22,25,0:00.07,57060,2900331
compress,22,25,0:01.89,103852,53340358
decompress,22,25,0:00.93,326080,2900324
random_access,22,25,0:00.07,57008,2900324
random_access,22,25,0:00.07,56948,2900324
random_access,22,25,0:00.07,56936,2900324
compress,22,25,0:01.78,114380,53340358
decompress,22,25,0:00.95,328460,2900321
random_access,22,25,0:00.08,56996,2900321
random_access,22,25,0:00.07,56948,2900321
random_access,22,25,0:00.07,56904,2900321
compress,22,50,0:02.24,138304,92909238
decompress,22,50,0:01.23,360652,3608806
random_access,22,50,0:00.08,56856,3608806
random_access,22,50,0:00.09,56200,3608806
random_access,22,50,0:00.08,56956,3608806
compress,22,50,0:02.22,139360,92909238
decompress,22,50,0:01.22,363272,3608806
random_access,22,50,0:00.08,56956,3608806
random_access,22,50,0:00.08,57020,3608806
random_access,22,50,0:00.08,56368,3608806
compress,22,50,0:02.25,133724,92909238
decompress,22,50,0:01.23,361936,3608806
random_access,22,50,0:00.08,56996,3608806
random_access,22,50,0:00.08,56932,3608806
random_access,22,50,0:00.08,56288,3608806
compress,22,100,0:03.35,201476,185568382
decompress,22,100,0:01.85,425152,4665354
random_access,22,100,0:00.10,56992,4665354
random_access,22,100,0:00.09,57084,4665354
random_access,22,100,0:00.10,57048,4665354
compress,22,100,0:03.09,191456,185568382
decompress,22,100,0:01.84,411232,4665354
random_access,22,100,0:00.10,57048,4665354
random_access,22,100,0:00.09,56964,4665354
random_access,22,100,0:00.09,57060,4665354
compress,22,100,0:03.50,185700,185568382
decompress,22,100,0:01.89,411992,4665354
random_access,22,100,0:00.10,56920,4665354
random_access,22,100,0:00.09,57028,4665354
random_access,22,100,0:00.10,56968,4665354
compress,22,150,0:04.76,202628,285659902
decompress,22,150,0:02.38,416388,5359246
random_access,22,150,0:00.09,53892,5359246
random_access,22,150,0:00.09,57040,5359246
random_access,22,150,0:00.09,53940,5359246
compress,22,150,0:04.10,235964,285659902
decompress,22,150,0:02.31,441176,5359246
random_access,22,150,0:00.09,54028,5359246
random_access,22,150,0:00.09,57268,5359246
random_access,22,150,0:00.10,53932,5359246
compress,22,150,0:04.66,223052,285659902
decompress,22,150,0:02.33,446176,5359246
random_access,22,150,0:00.09,53948,5359246
random_access,22,150,0:00.10,57204,5359246
random_access,22,150,0:00.09,54076,5359246
compress,22,200,0:06.33,256784,393451359
decompress,22,200,0:02.93,459124,5984882
random_access,22,200,0:00.11,57300,5984882
random_access,22,200,0:00.10,57216,5984882
random_access,22,200,0:00.11,57108,5984882
compress,22,200,0:05.82,267984,393451359
decompress,22,200,0:02.81,470008,5984882
random_access,22,200,0:00.11,57244,5984882
random_access,22,200,0:00.10,57252,5984882
random_access,22,200,0:00.11,57236,5984882
compress,22,200,0:05.99,232196,393451359
decompress,22,200,0:02.87,472968,5984882
random_access,22,200,0:00.11,57300,5984882
random_access,22,200,0:00.10,57104,5984882
random_access,22,200,0:00.11,57280,5984882
compress,22,250,0:07.80,268472,520487483
decompress,22,250,0:03.54,496900,6633845
random_access,22,250,0:00.12,57624,6633845
random_access,22,250,0:00.11,57236,6633845
random_access,22,250,0:00.12,57600,6633845
compress,22,250,0:07.85,266820,520487483
decompress,22,250,0:03.50,504364,6633845
random_access,22,250,0:00.14,57528,6633845
random_access,22,250,0:00.11,57384,6633845
random_access,22,250,0:00.12,57588,6633845
compress,22,250,0:07.55,239212,520487483
decompress,22,250,0:03.41,493988,6633845
random_access,22,250,0:00.12,57468,6633845
random_access,22,250,0:00.11,57408,6633845
random_access,22,250,0:00.11,57496,6633845
compress,22,500,0:16.70,330992,1279740103
decompress,22,500,0:06.96,565612,9478633
random_access,22,500,0:00.14,58184,9478633
random_access,22,500,0:00.12,57800,9478633
random_access,22,500,0:00.15,58520,9478633
compress,22,500,0:16.01,323928,1279740103
decompress,22,500,0:07.00,549544,9478633
random_access,22,500,0:00.13,58280,9478633
random_access,22,500,0:00.12,57788,9478633
random_access,22,500,0:00.15,58468,9478633
compress,22,500,0:16.93,322120,1279740103
decompress,22,500,0:06.95,556728,9478633
random_access,22,500,0:00.14,58264,9478633
random_access,22,500,0:00.12,57756,9478633
random_access,22,500,0:00.15,58504,9478633
compress,22,750,0:26.88,339016,2141279700
decompress,22,750,0:10.83,414448,11704366
random_access,22,750,0:00.09,38968,11704366
random_access,22,750,0:00.07,38924,11704366
random_access,22,750,0:00.08,38832,11704366
compress,22,750,0:27.78,324948,2141279700
decompress,22,750,0:11.00,409668,11704366
random_access,22,750,0:00.10,39000,11704366
random_access,22,750,0:00.07,38940,11704366
random_access,22,750,0:00.07,38936,11704366
compress,22,750,0:27.93,330876,2141279700
decompress,22,750,0:11.14,416108,11704366
random_access,22,750,0:00.09,38880,11704366
random_access,22,750,0:00.07,38704,11704366
random_access,22,750,0:00.08,38884,11704366
compress,22,1000,0:37.38,332084,3166130909
decompress,22,1000,0:15.07,478512,13884316
random_access,22,1000,0:00.08,39760,13884316
random_access,22,1000,0:00.10,40312,13884316
random_access,22,1000,0:00.08,39452,13884316
compress,22,1000,0:34.49,400212,3166130909
decompress,22,1000,0:15.06,488052,13884316
random_access,22,1000,0:00.08,39696,13884316
random_access,22,1000,0:00.11,40516,13884316
random_access,22,1000,0:00.08,39544,13884316
compress,22,1000,0:38.46,347304,3166130909
decompress,22,1000,0:14.86,473312,13884316
random_access,22,1000,0:00.09,39700,13884316
random_access,22,1000,0:00.11,40468,13884316
random_access,22,1000,0:00.09,39448,13884316
compress,22,1500,1:05.26,345416,5490160527
decompress,22,1500,0:24.74,545200,17981115
random_access,22,1500,0:00.08,38996,17981115
random_access,22,1500,0:00.12,40284,17981115
random_access,22,1500,0:00.09,39192,17981115
compress,22,1500,1:09.66,352872,5490160527
decompress,22,1500,0:25.29,534936,17981115
random_access,22,1500,0:00.08,38860,17981115
random_access,22,1500,0:00.11,40468,17981115
random_access,22,1500,0:00.09,39016,17981115
compress,22,1500,0:57.39,368544,5490160527
decompress,22,1500,0:25.02,546840,17981115
random_access,22,1500,0:00.09,38856,17981115
random_access,22,1500,0:00.11,40280,17981115
random_access,22,1500,0:00.09,39124,17981115
compress,22,2000,1:40.07,432660,8179301488
decompress,22,2000,0:36.23,609328,22095291
random_access,22,2000,0:00.09,40724,22095291
random_access,22,2000,0:00.12,41948,22095291
random_access,22,2000,0:00.09,40948,22095291
compress,22,2000,1:35.57,431300,8179301488
decompress,22,2000,0:36.37,602272,22095291
random_access,22,2000,0:00.09,40680,22095291
random_access,22,2000,0:00.13,41956,22095291
random_access,22,2000,0:00.09,41044,22095291
compress,22,2000,1:31.30,408256,8179301488
decompress,22,2000,0:36.30,616852,22095291
random_access,22,2000,0:00.09,40544,22095291
random_access,22,2000,0:00.13,41952,22095291
random_access,22,2000,0:00.09,41064,22095291
compress,22,2500,2:02.21,497952,11153876235
decompress,22,2500,0:47.86,510200,26142978
random_access,22,2500,0:00.07,32176,26142978
random_access,22,2500,0:00.07,32076,26142978
random_access,22,2500,0:00.07,32224,26142978
compress,22,2500,1:57.90,470224,11153876235
decompress,22,2500,0:47.87,508732,26142978
random_access,22,2500,0:00.06,32172,26142978
random_access,22,2500,0:00.06,32224,26142978
random_access,22,2500,0:00.07,32216,26142978
compress,22,2500,2:12.28,472664,11153876235
decompress,22,2500,0:47.74,510620,26142978
random_access,22,2500,0:00.07,32116,26142978
random_access,22,2500,0:00.06,32356,26142978
random_access,22,2500,0:00.06,32288,26142978
compress,21,1,0:00.90,57448,9697344
decompress,21,1,0:00.30,154124,827693
random_access,21,1,0:00.05,54112,827693
random_access,21,1,0:00.06,54188,827693
random_access,21,1,0:00.06,54124,827693
compress,21,1,0:00.91,57320,9697344
decompress,21,1,0:00.32,154424,827692
random_access,21,1,0:00.05,54108,827692
random_access,21,1,0:00.05,53972,827692
random_access,21,1,0:00.05,54096,827692
compress,21,1,0:00.85,58892,9697344
decompress,21,1,0:00.31,154004,827694
random_access,21,1,0:00.05,54112,827694
random_access,21,1,0:00.05,54160,827694
random_access,21,1,0:00.05,54032,827694
compress,21,2,0:01.03,79508,16922564
decompress,21,2,0:00.46,229908,1380766
random_access,21,2,0:00.06,54304,1380766
random_access,21,2,0:00.04,40900,1380766
random_access,21,2,0:00.06,54184,1380766
compress,21,2,0:01.07,78488,16922564
decompress,21,2,0:00.46,230460,1380766
random_access,21,2,0:00.06,54260,1380766
random_access,21,2,0:00.04,41008,1380766
random_access,21,2,0:00.06,54348,1380766
compress,21,2,0:01.04,81336,16922564
decompress,21,2,0:00.46,230404,1380767
random_access,21,2,0:00.06,54276,1380767
random_access,21,2,0:00.05,40892,1380767
random_access,21,2,0:00.06,54192,1380767
compress,21,5,0:01.22,92824,21603610
decompress,21,5,0:00.54,264280,1713021
random_access,21,5,0:00.06,53356,1713021
random_access,21,5,0:00.06,51048,1713021
random_access,21,5,0:00.06,53588,1713021
compress,21,5,0:01.19,92200,21603610
decompress,21,5,0:00.54,264308,1713021
