Command,Chromosome,Sample_Size,Threads,Input_file_size,Output_file_size
compress,1,2500,1,65391655050,125135507
compress,1,2500,1,65391655050,125135507
compress,1,2500,2,65391655050,125135505
compress,1,2500,2,65391655050,125135503
compress,1,2500,3,65391655050,125135505
compress,1,2500,3,65391655050,125135505
compress,1,2500,4,65391655050,125135505
compress,1,2500,4,65391655050,125135505
compress,1,2500,8,65391655050,125135505
compress,1,2500,8,65391655050,125135505
compress,1,2000,1,47704845595,107278617
compress,1,2000,1,47704845595,107278617
compress,1,2000,2,47704845595,107278613
compress,1,2000,2,47704845595,107278613
compress,1,2000,3,47704845595,107278613
compress,1,2000,3,47704845595,107278613
compress,1,2000,4,47704845595,107278613
compress,1,2000,4,47704845595,107278613
compress,1,2000,8,47704845595,107278613
compress,1,2000,8,47704845595,107278613
compress,1,1500,1,31988770951,89441430
compress,1,1500,1,31988770951,43068827
compress,1,1500,2,31988770951,89441428
compress,1,1500,2,31988770951,89441428
compress,1,1500,3,31988770951,89441428
compress,1,1500,3,31988770951,89441428
compress,1,1500,4,31988770951,89441428
compress,1,1500,4,31988770951,9643192
compress,1,1500,8,31988770951,89441428
compress,1,1500,8,31988770951,89441428
compress,1,1000,1,18314867257,70307023
compress,1,1000,1,18314867257,70307023
compress,1,1000,2,18314867257,70307017
compress,1,1000,2,18314867257,70307019
compress,1,1000,3,18314867257,70307021
compress,1,1000,3,18314867257,70307021
compress,1,1000,4,18314867257,70307023
compress,1,1000,4,18314867257,70307021
compress,1,1000,8,18314867257,70307021
compress,1,1000,8,18314867257,70307023
compress,1,750,1,12392834265,60162539
compress,1,750,1,12392834265,60162539
compress,1,750,2,12392834265,60162539
compress,1,750,2,12392834265,60162539
compress,1,750,3,12392834265,60162539
compress,1,750,3,12392834265,60162529
compress,1,750,4,12392834265,60162533
compress,1,750,4,12392834265,60162534
compress,1,750,8,12392834265,60162535
compress,1,750,8,12392834265,60162535
compress,1,500,1,7247599421,48888913
compress,1,500,1,7247599421,48888913
compress,1,500,2,7247599421,48888913
compress,1,500,2,7247599421,48888913
compress,1,500,3,7247599421,48888913
compress,1,500,3,7247599421,48888913
compress,1,500,4,7247599421,48888912
compress,1,500,4,7247599421,48888912
compress,1,500,8,7247599421,48888913
compress,1,500,8,7247599421,48888911
compress,1,250,1,2988497837,35674820
compress,1,250,1,2988497837,35674820
compress,1,250,2,2988497837,35674820
compress,1,250,2,2988497837,35674820
compress,1,250,3,2988497837,35674820
compress,1,250,3,2988497837,35674820
compress,1,250,4,2988497837,35674820
compress,1,250,4,2988497837,35674820
compress,1,250,8,2988497837,35674820
compress,1,250,8,2988497837,35674817
compress,1,200,1,2275838132,32457476
compress,1,200,1,2275838132,32457476
compress,1,200,2,2275838132,32457476
compress,1,200,2,2275838132,32457476
compress,1,200,3,2275838132,32457476
compress,1,200,3,2275838132,32457476
compress,1,200,4,2275838132,32457475
compress,1,200,4,2275838132,32457476
compress,1,200,8,2275838132,32457468
compress,1,200,8,2275838132,32457468
compress,1,100,1,1040793844,24962568
compress,1,100,1,1040793844,24962568
compress,1,100,2,1040793844,24962568
compress,1,100,2,1040793844,24962568
compress,1,100,3,1040793844,24962568
compress,1,100,3,1040793844,24962568
compress,1,100,4,1040793844,24962568
compress,1,100,4,1040793844,24962568
compress,1,100,8,1040793844,24962568
compress,1,100,8,1040793844,24962568
compress,1,50,1,535289167,19957098
compress,1,50,1,535289167,19957098
compress,1,50,2,535289167,19957098
compress,1,50,2,535289167,19957098
compress,1,50,3,535289167,19957098
compress,1,50,3,535289167,19957098
compress,1,50,4,535289167,19957098
compress,1,50,4,535289167,19957098
compress,1,50,8,535289167,19957098
compress,1,50,8,535289167,19957098
compress,1,25,1,304383795,15903602
compress,1,25,1,304383795,15903602
compress,1,25,2,304383795,15903602
compress,1,25,2,304383795,15903602
compress,1,25,3,304383795,15903602
compress,1,25,3,304383795,15903602
compress,1,25,4,304383795,15903602
compress,1,25,4,304383795,15903602
compress,1,25,8,304383795,15903602
compress,1,25,8,304383795,15903602
compress,1,10,1,171815753,11676454
compress,1,10,1,171815753,11676454
compress,1,10,2,171815753,11676454
compress,1,10,2,171815753,11676454
compress,1,10,3,171815753,11676450
compress,1,10,3,171815753,11676450
compress,1,10,4,171815753,11676450
compress,1,10,4,171815753,11676450
compress,1,10,8,171815753,11676459
compress,1,10,8,171815753,11676454
compress,1,5,1,103809583,7972921
compress,1,5,1,103809583,7972921
compress,1,5,2,103809583,7972922
compress,1,5,2,103809583,7972921
compress,1,5,3,103809583,7972918
compress,1,5,3,103809583,7972917
compress,1,5,4,103809583,7972917
compress,1,5,4,103809583,7972917
compress,1,5,8,103809583,7972924
compress,1,5,8,103809583,7972926
compress,1,2,1,68145665,5473580
compress,1,2,1,68145665,5473580
compress,1,2,2,68145665,5473580
compress,1,2,2,68145665,5473580
compress,1,2,3,68145665,5473576
compress,1,2,3,68145665,5473576
compress,1,2,4,68145665,5473576
compress,1,2,4,68145665,5473576
compress,1,2,8,68145665,5473583
compress,1,2,8,68145665,5473584
compress,1,1,1,50367476,4010665
compress,1,1,1,50367476,4010665
compress,1,1,2,50367476,4010661
compress,1,1,2,50367476,4010661
compress,1,1,3,50367476,4010662
compress,1,1,3,50367476,4010661
compress,1,1,4,50367476,4010661
compress,1,1,4,50367476,4010661
compress,1,1,8,50367476,4010662
compress,1,1,8,50367476,4010661
compress,22,2500,1,11154555118,26146693
compress,22,2500,1,11154555118,26146693
compress,22,2500,2,11154555118,26146693
compress,22,2500,2,11154555118,26146693
compress,22,2500,3,11154555118,26146693
compress,22,2500,3,11154555118,26146693
compress,22,2500,4,11154555118,26146693
compress,22,2500,4,11154555118,26146693
compress,22,2500,8,11154555118,26146693
compress,22,2500,8,11154555118,26146693
compress,22,2000,1,8177757644,22065906
compress,22,2000,1,8177757644,22065906
compress,22,2000,2,8177757644,22065906
compress,22,2000,2,8177757644,22065906
compress,22,2000,3,8177757644,22065902
compress,22,2000,3,8177757644,22065902
compress,22,2000,4,8177757644,22065902
compress,22,2000,4,8177757644,22065902
compress,22,2000,8,8177757644,22065902
compress,22,2000,8,8177757644,22065902
compress,22,1500,1,5473767198,18073652
compress,22,1500,1,5473767198,18073652
compress,22,1500,2,5473767198,18073652
compress,22,1500,2,5473767198,18073652
compress,22,1500,3,5473767198,18073648
compress,22,1500,3,5473767198,18073648
compress,22,1500,4,5473767198,18073648
compress,22,1500,4,5473767198,18073648
compress,22,1500,8,5473767198,18073648
compress,22,1500,8,5473767198,18073648
compress,22,1000,1,3128699823,13802127
compress,22,1000,1,3128699823,13802127
compress,22,1000,2,3128699823,13802127
compress,22,1000,2,3128699823,13802127
compress,22,1000,3,3128699823,13802123
compress,22,1000,3,3128699823,13802123
compress,22,1000,4,3128699823,13802123
compress,22,1000,4,3128699823,13802123
compress,22,1000,8,3128699823,13802123
compress,22,1000,8,3128699823,13802123
compress,22,750,1,2118811748,11590945
compress,22,750,1,2118811748,11590945
compress,22,750,2,2118811748,11590945
compress,22,750,2,2118811748,11590945
compress,22,750,3,2118811748,11590941
compress,22,750,3,2118811748,11590941
compress,22,750,4,2118811748,11590941
compress,22,750,4,2118811748,11590941
compress,22,750,8,2118811748,11590941
compress,22,750,8,2118811748,11590941
compress,22,500,1,1239021307,9214714
compress,22,500,1,1239021307,9214714
compress,22,500,2,1239021307,9214714
compress,22,500,2,1239021307,9214714
compress,22,500,3,1239021307,9214710
compress,22,500,3,1239021307,9214710
compress,22,500,4,1239021307,9214710
compress,22,500,4,1239021307,9214710
compress,22,500,8,1239021307,9214710
compress,22,500,8,1239021307,9214710
compress,22,250,1,519481362,6650453
compress,22,250,1,519481362,6650453
compress,22,250,2,519481362,6650453
compress,22,250,2,519481362,6650453
compress,22,250,3,519481362,6650449
compress,22,250,3,519481362,6650449
compress,22,250,4,519481362,6650449
compress,22,250,4,519481362,6650449
compress,22,250,8,519481362,6650449
compress,22,250,8,519481362,6650450
compress,22,200,1,400525424,6088385
compress,22,200,1,400525424,6088385
compress,22,200,2,400525424,6088385
compress,22,200,2,400525424,6088385
compress,22,200,3,400525424,6088381
compress,22,200,3,400525424,6088381
compress,22,200,4,400525424,6088381
compress,22,200,4,400525424,6088381
compress,22,200,8,400525424,6088385
compress,22,200,8,400525424,6088382
compress,22,100,1,180618620,4567934
compress,22,100,1,180618620,4567934
compress,22,100,2,180618620,4567934
compress,22,100,2,180618620,4567934
compress,22,100,3,180618620,4567930
compress,22,100,3,180618620,4567930
compress,22,100,4,180618620,4567930
compress,22,100,4,180618620,4567930
compress,22,100,8,180618620,4567934
compress,22,100,8,180618620,4567936
compress,22,50,1,89602932,3518044
compress,22,50,1,89602932,3518044
compress,22,50,2,89602932,3518044
compress,22,50,2,89602932,3518044
compress,22,50,3,89602932,3518040
compress,22,50,3,89602932,3518040
compress,22,50,4,89602932,3518040
compress,22,50,4,89602932,3518040
compress,22,50,8,89602932,3518048
compress,22,50,8,89602932,3518042
compress,22,25,1,54395689,2953577
compress,22,25,1,54395689,2953577
compress,22,25,2,54395689,2953578
compress,22,25,2,54395689,2953578
compress,22,25,3,54395689,2953574
compress,22,25,3,54395689,2953574
compress,22,25,4,54395689,2953574
compress,22,25,4,54395689,2953574
compress,22,25,8,54395689,2953576
compress,22,25,8,54395689,2953583
compress,22,10,1,32482393,2291355
compress,22,10,1,32482393,2291355
compress,22,10,2,32482393,2291356
compress,22,10,2,32482393,2291356
compress,22,10,3,32482393,2291351
compress,22,10,3,32482393,2291351
compress,22,10,4,32482393,2291352
compress,22,10,4,32482393,2291351
compress,22,10,8,32482393,2291357
compress,22,10,8,32482393,2291360
compress,22,5,1,23180608,1819207
compress,22,5,1,23180608,1819207
compress,22,5,2,23180608,1819203
compress,22,5,2,23180608,1819203
compress,22,5,3,23180608,1819204
compress,22,5,3,23180608,1819203
compress,22,5,4,23180608,1819203
compress,22,5,4,23180608,1819203
compress,22,5,8,23180608,1819207
compress,22,5,8,23180608,1819206
compress,22,2,1,15414122,1296940
compress,22,2,1,15414122,1296940
compress,22,2,2,15414122,1296936
compress,22,2,2,15414122,1296937
compress,22,2,3,15414122,1296936
compress,22,2,3,15414122,1296936
compress,22,2,4,15414122,1296936
compress,22,2,4,15414122,1296936
compress,22,2,8,15414122,1296946
compress,22,2,8,15414122,1296942
compress,22,1,1,10968117,931985
compress,22,1,1,10968117,931985
compress,22,1,2,10968117,931981
compress,22,1,2,10968117,931981
compress,22,1,3,10968117,931981
compress,22,1,3,10968117,931981
compress,22,1,4,10968117,931981
compress,22,1,4,10968117,931983
compress,22,1,8,10968117,931987
compress,22,1,8,10968117,931988
compress,10,2500,1,40364307343,78436447
compress,10,2500,1,40364307343,78436447
compress,10,2500,2,40364307343,78436445
compress,10,2500,2,40364307343,78436445
compress,10,2500,3,40364307343,78436445
compress,10,2500,3,40364307343,78436445
compress,10,2500,4,40364307343,78436445
compress,10,2500,4,40364307343,78436445
compress,10,2500,8,40364307343,78436445
compress,10,2500,8,40364307343,78436445
compress,10,2000,1,29521613373,67349037
compress,10,2000,1,29521613373,67349037
compress,10,2000,2,29521613373,67349033
compress,10,2000,2,29521613373,67349033
compress,10,2000,3,29521613373,67349033
compress,10,2000,3,29521613373,67349033
compress,10,2000,4,29521613373,67349033
compress,10,2000,4,29521613373,67349033
compress,10,2000,8,29521613373,67349033
compress,10,2000,8,29521613373,67349033
compress,10,1500,1,19798953748,56077555
compress,10,1500,1,19798953748,56077555
compress,10,1500,2,19798953748,56077553
compress,10,1500,2,19798953748,56077553
compress,10,1500,3,19798953748,56077553
compress,10,1500,3,19798953748,56077553
compress,10,1500,4,19798953748,56077553
compress,10,1500,4,19798953748,56077553
compress,10,1500,8,19798953748,56077551
compress,10,1500,8,19798953748,56077553
compress,10,1000,1,11364673325,44437495
compress,10,1000,1,11364673325,44437495
