Command,Chromosome,Sample_Size,Threads,Time_Taken,Memory_Used_MB,Input_file_size
compress,1,2500,1,12:45.40,463508,65391655050
compress,1,2500,1,12:58.31,464672,65391655050
compress,1,2500,2,12:48.72,508176,65391655050
compress,1,2500,2,12:34.04,507260,65391655050
compress,1,2500,3,12:51.02,553288,65391655050
compress,1,2500,3,12:52.60,559752,65391655050
compress,1,2500,4,12:43.95,597832,65391655050
compress,1,2500,4,12:54.88,609860,65391655050
compress,1,2500,8,12:56.23,770380,65391655050
compress,1,2500,8,12:49.34,787720,65391655050
compress,1,2000,1,9:32.17,432340,47704845595
compress,1,2000,1,9:30.94,426604,47704845595
compress,1,2000,2,9:24.83,476416,47704845595
compress,1,2000,2,9:12.58,501704,47704845595
compress,1,2000,3,9:10.28,529008,47704845595
compress,1,2000,3,9:21.73,526540,47704845595
compress,1,2000,4,9:25.44,583200,47704845595
compress,1,2000,4,9:23.78,605976,47704845595
compress,1,2000,8,9:21.81,751928,47704845595
compress,1,2000,8,9:27.47,790308,47704845595
compress,1,1500,1,6:30.92,394492,31988770951
compress,1,1500,1,6:19.62,400332,31988770951
compress,1,1500,2,6:22.56,440180,31988770951
compress,1,1500,2,6:25.03,452284,31988770951
compress,1,1500,3,6:29.39,495404,31988770951
compress,1,1500,3,6:24.87,478432,31988770951
compress,1,1500,4,6:25.92,530952,31988770951
compress,1,1500,4,6:30.54,550900,31988770951
compress,1,1500,8,6:27.25,708940,31988770951
compress,1,1500,8,6:31.71,689172,31988770951
compress,1,1000,1,3:45.16,393920,18314867257
compress,1,1000,1,3:45.48,392408,18314867257
compress,1,1000,2,3:32.64,445612,18314867257
compress,1,1000,2,3:43.87,446556,18314867257
compress,1,1000,3,3:47.64,487916,18314867257
compress,1,1000,3,3:46.53,475836,18314867257
compress,1,1000,4,3:42.26,529508,18314867257
compress,1,1000,4,3:45.33,537988,18314867257
compress,1,1000,8,3:42.35,722508,18314867257
compress,1,1000,8,3:45.25,718988,18314867257
compress,1,750,1,2:29.67,365816,12392834265
compress,1,750,1,2:36.52,372984,12392834265
compress,1,750,2,2:38.19,403104,12392834265
compress,1,750,2,2:38.77,401292,12392834265
compress,1,750,3,2:41.53,463900,12392834265
compress,1,750,3,2:38.67,452348,12392834265
compress,1,750,4,2:35.69,489368,12392834265
compress,1,750,4,2:35.45,512820,12392834265
compress,1,750,8,2:39.70,642084,12392834265
compress,1,750,8,2:36.90,653588,12392834265
compress,1,500,1,1:31.73,375424,7247599421
compress,1,500,1,1:36.71,369244,7247599421
compress,1,500,2,1:35.03,406632,7247599421
compress,1,500,2,1:31.22,393364,7247599421
compress,1,500,3,1:27.61,439072,7247599421
compress,1,500,3,1:33.31,467420,7247599421
compress,1,500,4,1:34.68,493136,7247599421
compress,1,500,4,1:33.94,487072,7247599421
compress,1,500,8,1:32.06,645424,7247599421
compress,1,500,8,1:30.48,620876,7247599421
compress,1,250,1,0:44.61,388320,2988497837
compress,1,250,1,0:46.28,365132,2988497837
