Command,Chromosome,Sample_Size,Time_Taken,Memory_Used_MB,Input_file_size
compress,1,2500,25:29.28,1173840,65373762405
decompress,1,2500,15:24.99,343364,326862338
random_access,1,2500,0:00.21,340056,326862338
random_access,1,2500,0:00.17,257608,326862338
random_access,1,2500,0:00.18,279492,326862338
compress,1,2500,25:12.25,1176180,65373762405
decompress,1,2500,15:35.51,343356,326862338
random_access,1,2500,0:00.22,340108,326862338
random_access,1,2500,0:00.16,257564,326862338
random_access,1,2500,0:00.18,279532,326862338
compress,1,2500,25:08.62,1221824,65373762405
decompress,1,2500,15:53.96,343380,326862338
random_access,1,2500,0:00.22,340052,326862338
random_access,1,2500,0:00.17,257696,326862338
random_access,1,2500,0:00.18,279396,326862338
compress,1,2250,23:16.75,1051844,56416317998
decompress,1,2250,13:14.62,310868,308706169
random_access,1,2250,0:00.20,307604,308706169
random_access,1,2250,0:00.19,307740,308706169
random_access,1,2250,0:00.20,307596,308706169
compress,1,2250,22:36.49,1083128,56416317998
decompress,1,2250,13:18.85,310696,308706169
random_access,1,2250,0:00.19,307708,308706169
random_access,1,2250,0:00.20,307816,308706169
random_access,1,2250,0:00.19,307848,308706169
compress,1,2250,25:31.97,1070688,56416317998
decompress,1,2250,13:21.50,310724,308706169
random_access,1,2250,0:00.20,307648,308706169
random_access,1,2250,0:00.20,307632,308706169
random_access,1,2250,0:00.19,307748,308706169
compress,1,2000,20:55.90,976932,47774230928
decompress,1,2000,11:25.91,278784,288870620
random_access,1,2000,0:00.18,275860,288870620
random_access,1,2000,0:00.18,275840,288870620
random_access,1,2000,0:00.18,275672,288870620
compress,1,2000,19:58.60,956536,47774230928
decompress,1,2000,11:23.44,278752,288870620
random_access,1,2000,0:00.19,275676,288870620
random_access,1,2000,0:00.19,275724,288870620
random_access,1,2000,0:00.19,275668,288870620
compress,1,2000,20:37.03,947688,47774230928
decompress,1,2000,11:40.82,278764,288870620
random_access,1,2000,0:00.19,275744,288870620
random_access,1,2000,0:00.18,275752,288870620
random_access,1,2000,0:00.18,275848,288870620
compress,1,1500,12:59.33,734204,31991894277
decompress,1,1500,8:10.37,213800,246798365
random_access,1,1500,0:00.16,211216,246798365
random_access,1,1500,0:00.10,130952,246798365
random_access,1,1500,0:00.03,18340,246798365
compress,1,1500,13:00.81,713908,31991894277
decompress,1,1500,8:03.50,213908,246798365
random_access,1,1500,0:00.15,211296,246798365
random_access,1,1500,0:00.11,130908,246798365
random_access,1,1500,0:00.02,18388,246798365
compress,1,1500,14:10.97,713728,31991894277
decompress,1,1500,7:45.34,213884,246798365
random_access,1,1500,0:00.14,211104,246798365
random_access,1,1500,0:00.10,130808,246798365
random_access,1,1500,0:00.03,18356,246798365
compress,1,1000,8:30.52,517608,18334725465
decompress,1,1000,4:54.83,149136,201313069
random_access,1,1000,0:00.09,111648,201313069
random_access,1,1000,0:00.11,138480,201313069
random_access,1,1000,0:00.04,35756,201313069
