Command,Chromosome,Sample_Size,Threads,Time_Taken,Memory_Used_MB,Input_file_size
compress,1,2500,1,20:24.11,458324,65395906111
compress,1,2500,1,20:57.16,453912,65395906111
compress,1,2500,1,21:06.66,471964,65395906111
compress,1,2500,2,20:51.12,510548,65395906111
compress,1,2500,2,20:11.63,500912,65395906111
compress,1,2500,2,20:26.75,511260,65395906111
compress,1,2500,3,21:12.14,551188,65395906111
compress,1,2500,3,19:55.20,553952,65395906111
compress,1,2500,3,20:15.41,563968,65395906111
compress,1,2500,4,20:52.08,587416,65395906111
compress,1,2500,4,20:48.95,591236,65395906111
compress,1,2500,4,20:23.21,599776,65395906111
compress,1,2500,5,20:58.42,654004,65395906111
compress,1,2500,5,20:48.30,639016,65395906111
compress,1,2500,5,20:32.22,657560,65395906111
compress,1,2500,6,20:52.59,665980,65395906111
compress,1,2500,6,20:49.91,684172,65395906111
compress,1,2500,6,21:10.66,710508,65395906111
compress,1,2500,7,20:55.32,759840,65395906111
compress,1,2500,7,21:08.42,745100,65395906111
compress,1,2500,7,20:55.74,769764,65395906111
compress,1,2500,8,20:53.31,748748,65395906111
compress,1,2500,8,20:51.40,834380,65395906111
compress,1,2500,8,20:50.68,775260,65395906111
compress,1,2250,1,18:03.65,447736,56314649768
compress,1,2250,1,17:19.22,450580,56314649768
compress,1,2250,1,17:44.27,428864,56314649768
compress,1,2250,2,17:32.85,481992,56314649768
compress,1,2250,2,17:54.62,488600,56314649768
compress,1,2250,2,18:30.68,486352,56314649768
compress,1,2250,3,18:05.14,543888,56314649768
compress,1,2250,3,18:16.45,535944,56314649768
compress,1,2250,3,17:40.51,534780,56314649768
compress,1,2250,4,17:46.73,577040,56314649768
compress,1,2250,4,18:13.04,592788,56314649768
compress,1,2250,4,17:21.17,582472,56314649768
compress,1,2250,5,17:57.15,601660,56314649768
compress,1,2250,5,17:44.67,627340,56314649768
compress,1,2250,5,17:51.04,588828,56314649768
compress,1,2250,6,18:07.80,671992,56314649768
compress,1,2250,6,18:17.24,673112,56314649768
compress,1,2250,6,17:58.85,639904,56314649768
compress,1,2250,7,17:56.18,704608,56314649768
compress,1,2250,7,18:05.45,700864,56314649768
compress,1,2250,7,18:19.11,683852,56314649768
